mfcc,chroma,spec_contrast,tempo,filename
"[30.166749954223633, 99.97400665283203, -33.62477111816406, 34.16020584106445, 3.0558817386627197, 4.2499494552612305, -1.8410555124282837, 8.919967651367188, 2.158973455429077, 3.1804797649383545, -0.38453376293182373, 4.825906753540039, 1.959017276763916]","[0.4956904351711273, 0.5746141672134399, 0.630072832107544, 0.5703917145729065, 0.5160126090049744, 0.45488470792770386, 0.5049108862876892, 0.5478051900863647, 0.5452216863632202, 0.6086090803146362, 0.6495621204376221, 0.5098991990089417]","[19.66317350687852, 13.35937029290059, 14.645806444509782, 14.500504906444013, 15.032188603157577, 17.245769680793902, 46.80013344231218]",[123.046875],000256.mp3
"[-255.66339111328125, 116.2047348022461, 46.256473541259766, 17.725570678710938, 21.096649169921875, 20.03239631652832, -1.4249173402786255, 13.121795654296875, 0.33295005559921265, 2.4940690994262695, 2.8518483638763428, 8.910481452941895, -1.6284054517745972]","[0.2394963502883911, 0.23153944313526154, 0.40368950366973877, 0.5424198508262634, 0.8279371857643127, 0.6288653612136841, 0.35192471742630005, 0.2531262934207916, 0.22273051738739014, 0.19927021861076355, 0.18519310653209686, 0.26527297496795654]","[25.88330208742286, 15.821526152045942, 18.541161692753345, 18.92671819471921, 20.080951390350776, 17.723309945804544, 47.552574222635435]",[135.99917763],000368.mp3
"[-102.96212005615234, 124.52782440185547, -57.432647705078125, 46.524105072021484, -21.05953598022461, -1.9720208644866943, -20.888877868652344, -5.994406700134277, -21.26193618774414, -4.665812969207764, -3.9999401569366455, -0.5626634955406189, -14.013785362243652]","[0.20336036384105682, 0.18092702329158783, 0.22867611050605774, 0.7220930457115173, 0.6751526594161987, 0.28120753169059753, 0.2631695866584778, 0.2161448895931244, 0.44241440296173096, 0.2870030105113983, 0.314153254032135, 0.5359088778495789]","[20.504003929790226, 15.06253127905932, 19.173657656560145, 18.080618649182956, 21.383107703520736, 21.917113005939004, 54.381908672400634]",[99.38401442],000424.mp3
"[5.8775954246521, 109.1822509765625, -3.2875006198883057, 26.044933319091797, 12.1643705368042, 13.330076217651367, 0.8743445873260498, 12.628678321838379, 1.2676875591278076, 7.235198974609375, -3.154228448867798, 3.8753604888916016, -0.33938872814178467]","[0.30177581310272217, 0.44590914249420166, 0.8623384237289429, 0.5545457005500793, 0.3275454640388489, 0.36164209246635437, 0.46642282605171204, 0.46217989921569824, 0.294490247964859, 0.4078456461429596, 0.3050704300403595, 0.4965975284576416]","[20.24752293528701, 15.515097256644665, 18.354039754450397, 19.18283396463788, 19.110163425662613, 16.084805982607165, 46.58906346205366]",[95.703125],000459.mp3
"[-259.6943664550781, 150.06382751464844, 34.308250427246094, 54.39418411254883, -13.192787170410156, 3.8903939723968506, 11.928771018981934, -16.344308853149414, -5.835249423980713, -0.30513641238212585, -5.337706089019775, -4.888521671295166, -7.880688190460205]","[0.1941920965909958, 0.1392253190279007, 0.2602773904800415, 0.4797387421131134, 0.22865483164787292, 0.18629303574562073, 0.1735304743051529, 0.29283276200294495, 0.38746723532676697, 0.390889048576355, 0.5088697075843811, 0.2703824043273926]","[15.520319617542219, 16.394771496225534, 21.074773316052507, 18.7199138072415, 17.589607397163203, 21.613906667000734, 46.219378764105336]",[151.99908088],000534.mp3
"[-205.5589141845703, 137.50527954101562, -3.9164013862609863, 55.906455993652344, -7.892374038696289, -1.684938907623291, 13.009443283081055, -10.719624519348145, -16.96033477783203, -1.0430506467819214, 1.7869491577148438, -2.3091847896575928, -10.652904510498047]","[0.19629119336605072, 0.18237930536270142, 0.1790107935667038, 0.31629639863967896, 0.17274689674377441, 0.20599134266376495, 0.18007899820804596, 0.40953993797302246, 0.7544103860855103, 0.3350421190261841, 0.1375686079263687, 0.1339094489812851]","[15.1666083046857, 16.023243577916833, 21.337474189438975, 18.604007336678176, 18.945038016243796, 24.086950802258766, 46.647689195053886]",[143.5546875],000540.mp3
"[-224.2866973876953, 149.19085693359375, -0.5500520467758179, 52.67789077758789, -15.647808074951172, -3.649064540863037, 18.513261795043945, -5.949930191040039, -14.18348503112793, -1.273777961730957, -4.260521411895752, 5.30491828918457, -13.16099739074707]","[0.20420612394809723, 0.18706905841827393, 0.29650792479515076, 0.3552852272987366, 0.2285829782485962, 0.2784205377101898, 0.4351801574230194, 0.46156051754951477, 0.3444249629974365, 0.2609180808067322, 0.2098449468612671, 0.2041683942079544]","[14.79143766627128, 15.971375745449793, 19.010359030493454, 18.851079927015906, 18.320837243076472, 27.619305807926267, 46.64912521388671]",[103.359375],000546.mp3
"[34.43745803833008, 84.72505187988281, -16.151132583618164, 20.11090660095215, 5.904735565185547, -2.117347002029419, -12.10068130493164, 2.8956503868103027, -6.882562160491943, 3.7336585521698, -2.078571081161499, 0.6968441605567932, -7.729174613952637]","[0.35858413577079773, 0.40690186619758606, 0.4063546359539032, 0.5444530844688416, 0.47332894802093506, 0.3914303779602051, 0.45780348777770996, 0.4258768856525421, 0.5936207175254822, 0.447696328163147, 0.3906913101673126, 0.3996734321117401]","[22.078964702190095, 13.753618469326632, 16.0689479148124, 15.753916408662906, 17.10079128423054, 16.70970227742047, 48.776899936037694]",[123.046875],000574.mp3
"[-400.3229064941406, 171.73196411132812, 25.713815689086914, 21.74574089050293, 20.03904151916504, 4.416425704956055, -0.8448544144630432, -8.318849563598633, -16.787017822265625, -15.091734886169434, -14.57643985748291, -16.165346145629883, -10.849007606506348]","[0.10412313044071198, 0.23942165076732635, 0.553255558013916, 0.21443036198616028, 0.24935618042945862, 0.5232354402542114, 0.16046229004859924, 0.0824110135436058, 0.11661019176244736, 0.2886359989643097, 0.18589763343334198, 0.1405443549156189]","[23.64467233644404, 20.758481378419223, 24.68537971166329, 22.871251337036774, 21.87775407931696, 19.903500138231625, 45.975236772556734]",[151.99908088],000602.mp3
"[-447.2463684082031, 197.80580139160156, 84.25057983398438, 42.29854965209961, 15.88469409942627, 5.608630657196045, -2.2166097164154053, -0.11253465712070465, 0.8455043435096741, -0.18679818511009216, -3.4946129322052, -4.9951863288879395, -9.955568313598633]","[0.15228211879730225, 0.0904998630285263, 0.05110130086541176, 0.13755039870738983, 0.1800297200679779, 0.08156561106443405, 0.08156166970729828, 0.5683090686798096, 0.9974416494369507, 0.3669023811817169, 0.04172573611140251, 0.06071997806429863]","[30.192608898479236, 21.290499713424886, 23.09289777329272, 23.17962781935901, 21.62891260274954, 17.59927830254044, 43.064078486514745]",[117.45383523],000615.mp3
