filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,tempo,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,danceability,energy,valence
"Sysyphus, Part Four.mp3",0.36457184,0.07103464,1697.183150705143,1580.525960964448,3177.516228027884,0.1090215717186462,117.45383522727272,-237.89276,119.23794,-36.90295,34.17126,0.21338658,-10.577241,-1.262533,-1.5060742,-1.2592721,3.9269807,-4.4791317,-4.454816,-0.13762094,0.33514737215909085,0.5619824920564114,0.3672840601910703
"Sysyphus, Part One.mp3",0.35698208,0.18164304,1535.841267151693,1632.711104353338,3242.0049360554945,0.0731621576574669,123.046875,-101.184746,143.2693,-35.894936,61.431236,-8.331875,7.2894926,-5.1906247,1.1672702,-3.5151515,4.7476807,-11.301063,-2.9008749,1.6710898,0.44828696452759925,0.7228673013721354,0.35767301475933655
"Sysyphus, Part Three.mp3",0.46613902,0.06376864,3050.7880367531507,2276.0892219659645,5475.9108394724335,0.2207736751425855,92.28515625,-154.72852,61.045006,-28.202042,33.380642,-11.3671665,11.989707,-4.7098646,3.5099719,-10.410961,0.90126383,-3.7093372,2.3386745,-4.54016,0.188330078125,0.6266748829402521,0.5895899564210607
"Sysyphus, Part Two.mp3",0.35791427,0.105754055,1053.8984097282766,1206.466135094597,1994.6643763989443,0.0556989281667956,129.19921875,-229.5346,184.45345,-33.619133,28.612911,5.5515413,0.553108,-8.252498,-13.12045,-14.294679,-12.849738,-7.9936504,-2.547044,1.7923336,0.5365653248746132,0.6843118727782621,0.25619810785965225
Take It Back.mp3,0.33218652,0.13537414,2050.9573851353744,2086.7657143579004,4196.915834247731,0.1032044880702725,112.34714673913044,-95.49235,109.90269,-23.58166,34.45925,3.3489666,0.4831109,-8.022472,0.34257632,-2.7099786,7.556619,0.4972949,1.9031365,-1.2969079,0.3053583559782609,0.7640765908108299,0.46594145280827504
Take Up Thy Stethoscope and Walk.mp3,0.43536547,0.16128667,2017.634905250401,2216.998857160265,4101.0920115845565,0.0932753210883822,151.99908088235293,-70.45493,106.04889,-17.115112,25.760798,8.280578,12.08635,0.34699658,10.884623,-0.18036397,5.2741804,0.18444255,6.179281,0.8251007,0.5568353418819121,0.7614107924200321,0.4788883476700732
Talkin' Hawkin'.mp3,0.34716374,0.09482141,1759.990678107,2124.0683035435964,3738.93124701218,0.0753244599406939,86.1328125,-187.3506,107.49949,-0.99982417,14.078195,5.5122156,10.402725,-0.10710696,3.161391,-4.5055265,0.74131167,-2.653648,1.7515767,-3.9390364,0.22646802642791833,0.70972771424856,0.44150760575364956
Tbs14 (1993).mp3,0.3395416,0.09381186,1724.0883073920231,2180.155481560735,3768.807497589984,0.0709795903766996,129.19921875,-173.18164,112.03404,3.029131,30.517376,9.259727,12.177912,3.8745425,3.9289472,-5.0392146,7.1711082,-4.078129,-0.89876133,-4.305788,0.49072333824490116,0.7007982245913618,0.4449282659342942
Tbs9 (1993).mp3,0.2849999,0.0478757,1705.524649341141,2077.766512803867,3658.273546790388,0.0717781868034845,129.19921875,-259.15402,113.00748,3.6702685,28.698767,4.5648546,8.264458,-7.664228,-1.1469029,-2.785674,4.6940594,3.0423348,9.1338415,2.3494039,0.4883275489645465,0.42369617194729126,0.43027327903459744
Tear It Up.mp3,0.45787516,0.12881891,2687.011959008776,2397.34125437875,5324.289493688231,0.1506417799102171,92.28515625,-65.77864,75.0105,-25.92322,28.994379,1.9821004,7.2424493,-2.371318,13.048596,-1.5092247,10.6959505,-2.6075227,4.448825,0.35108814,0.188330078125,0.8149609567207021,0.5683688526982213
Tenement Funster.mp3,0.39270416,0.11472853,2590.626363999242,2392.9680742014984,5207.267294436171,0.1385997656684148,172.265625,-103.7625,77.27849,-11.046789,38.12648,-4.668003,14.072043,-2.465488,5.0317554,-4.50188,0.14608558,-6.667972,1.173746,-3.236822,0.6548828124999999,0.8072501091199393,0.5581836456751115
Teo Torriatte (Let Us Cling Together).mp3,0.31958407,0.08058175,1644.412505539752,1921.5201921643995,3359.294075580609,0.0704886565553679,143.5546875,-211.79593,118.062965,-7.9021735,22.27684,-2.0549817,1.1850282,-3.411097,-2.9604683,-10.494282,3.8597393,-7.1927676,0.78882706,-6.5734296,0.5759363740838963,0.61504350044318,0.40463127457452513
Terminal Frost.mp3,0.404425,0.08490425,2136.4087190352684,2301.601677096378,4527.466334419351,0.104184715525137,86.1328125,-141.4045,102.34592,-6.6525855,29.629908,-2.7458477,5.987733,-0.39082006,7.951834,-1.7301986,8.152718,1.0312865,4.608003,0.97707236,0.15244140625,0.6803381975228214,0.5013410815405741
That Was Just Your Life_1.mp3,0.47347823,0.30359837,3066.940908638569,2585.531002906423,6056.004723837209,0.1682586430042825,95.703125,12.235617,56.810833,-3.3531559,42.268707,5.217287,9.939793,-0.65349627,7.4379954,-0.09107844,2.8564084,-3.2953808,2.8722966,-2.044033,0.20826822916666668,0.8453552726910856,0.6298854662271598
The Call Of Ktulu_1.mp3,0.45322207,0.2225678,2842.817090914155,2649.263313185969,5930.673969055072,0.146634187219561,135.99917763157896,-19.12955,69.74194,-13.502518,28.92141,13.038142,8.299324,4.400671,4.6250534,1.0426748,4.9244957,-1.8539335,3.5572472,-1.0114778,0.44332853618421053,0.8274253672731324,0.6154396232396615
The Call Of Ktulu_1_1.mp3,0.428811,0.16847008,2561.1776749633736,2163.504748329553,4765.879141233492,0.1600729222190192,135.99917763157896,-61.9877,75.68322,-29.697655,52.743114,10.39954,-3.9994738,-4.7186656,3.4903042,-10.9889965,-3.1486504,-2.6709096,-5.4337306,-7.943828,0.44332853618421053,0.8048942139970698,0.5265558610375315
